# DRAFT emoji-data.txt
# For details about the format and other information, see index.html#Data_Files.
#
# Format
# Code ;  Default Style ; Ordering ;  Annotations ; Sources # Version Char Name
#
U+1F45A ; emoji ; 220 ; clothes, clothing, woman ;  j   # V6.0 (👚) womans clothes
U+1F45B ; emoji ; 221 ; clothing, coin, purse ; j   # V6.0 (👛) purse
U+1F45C ; emoji ; 222 ; bag, clothing, handbag ;  j   # V6.0 (👜) handbag
U+1F45D ; emoji ; 223 ; bag, clothing, pouch ;  j   # V6.0 (👝) pouch
U+1F45E ; emoji ; 224 ; clothing, man, shoe ; j   # V6.0 (👞) mans shoe
U+1F45F ; emoji ; 225 ; athletic, clothing, shoe, sneaker ; j   # V6.0 (👟) athletic shoe
U+1F460 ; emoji ; 226 ; clothing, heel, shoe ;  j   # V6.0 (👠) high-heeled shoe
U+1F461 ; emoji ; 227 ; clothing, sandal, woman ; j   # V6.0 (👡) womans sandal
U+1F462 ; emoji ; 228 ; boot, clothing, woman ; j   # V6.0 (👢) womans boots
U+1F451 ; emoji ; 229 ; clothing, crown ; j   # V6.0 (👑) crown
U+1F452 ; emoji ; 230 ; clothing, hat, woman ;  j   # V6.0 (👒) womans hat
U+1F3A9 ; emoji ; 231 ; activity, entertainment, hat, object, top, tophat ; j   # V6.0 (🎩) top hat
U+26D1 ;  text ;  232 ; cross, helmet, travel ; a   # V5.2 (⛑) helmet with white cross
U+1F435 ; emoji ; 233 ; animal, face, monkey, nature ;  j   # V6.0 (🐵) monkey face
U+1F648 ; emoji ; 234 ; evil, face, forbidden, gesture, monkey, no, not, prohibited, see ;  j   # V6.0 (🙈) see-no-evil monkey
U+1F649 ; emoji ; 235 ; evil, face, forbidden, gesture, hear, monkey, no, not, prohibited ; j   # V6.0 (🙉) hear-no-evil monkey
U+1F64A ; emoji ; 236 ; evil, face, forbidden, gesture, monkey, no, not, prohibited, speak ;  j   # V6.0 (🙊) speak-no-evil monkey
U+1F412 ; emoji ; 237 ; animal, monkey, nature ;  j   # V6.0 (🐒) monkey
U+1F436 ; emoji ; 238 ; animal, dog, face, nature ; j   # V6.0 (🐶) dog face
U+1F415 ; emoji ; 239 ; animal, dog, nature ; w   # V6.0 (🐕) dog
U+1F429 ; emoji ; 240 ; animal, nature, poodle ;  j   # V6.0 (🐩) poodle
U+1F43A ; emoji ; 241 ; animal, face, nature, wolf ;  j   # V6.0 (🐺) wolf face
U+1F431 ; emoji ; 242 ; animal, cat, face, nature ; j   # V6.0 (🐱) cat face
U+1F638 ; emoji ; 243 ; animal, cat, eye, face, grin, grinning, nature, smile, smiley, smiling ;  j   # V6.0 (😸) grinning cat face with smiling eyes
U+1F639 ; emoji ; 244 ; animal, cat, face, joy, nature, tears ; j   # V6.0 (😹) cat face with tears of joy
U+1F63A ; emoji ; 245 ; animal, cat, face, mouth, nature, open, smile, smiley, smiling ;  j   # V6.0 (😺) smiling cat face with open mouth
U+1F63B ; emoji ; 246 ; animal, cat, eye, face, heart, love, nature, smile, smiley, smiling ; j   # V6.0 (😻) smiling cat face with heart-shaped eyes
U+1F63C ; emoji ; 247 ; animal, cat, face, ironic, nature, smile, smiley, smiling, wry ;  j   # V6.0 (😼) cat face with wry smile
U+1F63D ; emoji ; 248 ; animal, cat, eye, face, kiss, nature ;  j   # V6.0 (😽) kissing cat face with closed eyes
